Tested Method,Magic Literal,Redundant Print,Duplicated Assert,Assertion Roulette,Unknown Test,Empty Test,Number of Exceptions,Number of Conditionals
test_mixed_sync_async_execution,1,0,No,Yes,No,No,0,0
test_multiple_async_parallel_execution,0,0,No,Yes,No,No,0,1
test_none_vs_latent2rgb_preview_count,2,0,No,Yes,No,No,0,0
test_non_previewable_media_types,0,0,No,No,No,No,0,1
test_non_previewable_media_types_counted_but_no_preview,1,0,No,Yes,No,No,0,0
test_offset_at_exact_history_length_returns_empty,1,0,No,No,No,No,0,1
test_offset_beyond_history_length_returns_empty,1,0,No,No,No,No,0,0
test_offset_near_end_returns_remaining_items_only,1,0,No,No,No,No,0,1
test_offset_returns_different_items_than_beginning_of_history,0,0,No,No,No,No,0,1
test_offset_without_max_items_skips_from_beginning,1,0,No,No,No,No,0,1
test_offset_with_max_items_returns_correct_window,1,0,No,No,No,No,0,1
test_offset_zero_equals_no_offset_parameter,0,0,No,No,No,No,0,0
test_other_format_not_previewable,1,0,No,No,No,No,0,0
test_output_reuse,2,0,No,No,No,No,0,0
test_parallel_sleep_expansion,2,0,No,Yes,No,No,0,1
test_parallel_sleep_nodes,0,0,No,Yes,No,No,0,1
test_partial_cache,0,0,No,Yes,No,No,0,1
test_partial_execution_dependencies,0,0,No,Yes,No,No,0,0
test_partial_execution_empty_list,0,0,No,No,No,No,1,0
test_partial_execution_excluded_outputs,0,0,No,Yes,No,No,0,0
test_partial_execution_included_outputs,2,0,No,Yes,No,No,0,0
test_partial_execution_multiple_output_nodes,0,0,No,Yes,No,No,0,0
test_partial_execution_with_lazy_nodes,0,0,No,Yes,No,No,0,0
test_previewable_media_types,0,0,No,No,No,No,0,1
test_preview_enriched_with_node_metadata,3,0,No,Yes,No,No,0,0
test_preview_fallback_when_no_output_type,1,0,No,No,No,No,0,0
test_preview_prefers_type_output,2,0,No,Yes,No,No,0,0
test_progress_isolation_between_clients,4,0,No,Yes,No,No,1,2
test_progress_with_missing_client_id,1,0,No,No,No,No,1,1
test_sequential_different_methods,1,0,No,No,No,No,0,4
test_skips_animated_key_and_non_list_values,1,0,No,No,No,No,0,0
test_sort_by_create_time_asc,3,0,No,No,No,No,0,0
test_sort_by_create_time_desc,3,0,No,No,No,No,0,0
test_sort_by_execution_duration,3,0,No,No,No,No,0,0
test_sort_with_none_values,1,0,No,No,No,No,0,0
test_status_values,5,0,No,Yes,No,No,0,0
test_sync_and_async_progress_together,2,0,No,Yes,No,No,0,0
test_sync_error_during_async_execution,1,0,No,Yes,No,No,1,0
test_sync_progress_update_executes,1,0,No,Yes,No,No,0,0
test_undeclared_inputs,0,0,No,No,No,No,0,0
test_validation_error_edge1,0,0,No,No,Yes,No,0,0
test_validation_error_edge2,0,0,No,No,Yes,No,0,1
test_validation_error_edge3,0,0,No,No,Yes,No,0,1
test_validation_error_edge4,0,0,No,No,Yes,No,0,1
test_validation_error_kwargs,0,0,No,No,Yes,No,0,1
test_validation_error_literal,0,0,No,No,Yes,No,0,1
test_video_format_previewable,1,0,No,No,No,No,0,0
